year_month,mean_negativity_combined,mean_negativity_eng,mean_negativity_tha,mean_sentiment_combined,mean_sentiment_eng,mean_sentiment_tha,n_articles_combined,n_articles_eng,n_articles_tha,gasohol95_retail_bkk,diesel_retail_bkk,gasohol95_wholesale,diesel_wholesale,epu_us,epu_china,epu_global,gpr_global,gpr_global_acts,gpr_thailand,gpr_idn,gpr_mys,gpr_vnm,gpr_phl
2017-11,0.315754716981132,0.3345070422535211,0.2777142857142857,-0.0783018867924528,-0.0556338028169014,-0.1242857142857142,106.0,71.0,35.0,28.07,26.46,26.30779938,24.96375177,111.0,141.0,91.195,92.59601593017578,80.11587524414062,0.025248274207115173,0.00420804601162672,0.05049654841423035,0.02945632115006447,0.16832183301448822
2017-12,0.29216,0.2958227848101266,0.2858695652173913,-0.03872,-0.0245569620253164,-0.0630434782608695,125.0,79.0,46.0,28,26.7,26.13299417,25.16298518,140.0,177.0,90.5725806451613,82.71825408935547,62.65747833251953,0.009138261899352074,0.03198391571640968,0.0776752233505249,0.01370739284902811,0.018276523798704147
2018-01,0.324390243902439,0.3343023255813953,0.3013513513513514,-0.007560975609756,0.0147674418604651,-0.0594594594594594,123.0,86.0,37.0,28.18,27.52,26.39517347,25.95285459,161.0,155.0,114.80000000000001,92.42678833007812,75.66629028320312,0.0390455536544323,0.043383948504924774,0.0390455536544323,0.026030369102954865,0.04772234335541725
2018-02,0.3170731707317073,0.348125,0.2593023255813954,-0.0499999999999999,-0.0631249999999999,-0.0255813953488372,123.0,80.0,43.0,27.77,26.93,25.87602086,25.19024298,115.0,179.0,84.03857142857143,64.49137115478516,52.002201080322266,0.046498652547597885,0.0,0.013949595391750336,0.009299729950726032,0.013949595391750336
2018-03,0.3590090090090089,0.3943661971830985,0.29625,-0.0941441441441441,-0.0866197183098591,-0.1075,111.0,71.0,40.0,27.67,26.91,25.78971193,25.10330785,187.0,195.0,76.3758064516129,111.96229553222656,64.55758666992188,0.02805161476135254,0.036066360771656036,0.09617696702480316,0.02805161476135254,0.06411797553300858
2018-04,0.3240196078431372,0.3361538461538462,0.3027027027027026,0.0208823529411764,0.0335384615384615,-0.0013513513513513,102.0,65.0,37.0,28.16,27.49,26.31045136,25.81722524,139.0,213.0,88.596,123.26347351074219,94.30585479736328,0.017276378348469734,0.012957284227013588,0.030233662575483322,0.012957284227013588,0.017276378348469734
2018-05,0.4532710280373832,0.4292857142857142,0.4986486486486486,-0.0887850467289719,-0.0371428571428571,-0.1864864864864865,107.0,70.0,37.0,29.4,28.96,27.40380465,27.0333108,162.0,280.0,87.8674193548387,125.66661834716797,63.21790313720703,0.012606101110577583,0.05462643876671791,0.06723254173994064,0.025212202221155167,0.07143457233905792
2018-06,0.3856060606060606,0.436,0.228125,-0.0787878787878788,-0.128,0.075,66.0,50.0,16.0,29.25,28.79,27.26107762,27.02837908,134.0,298.0,103.78933333333333,103.96858978271484,56.64043426513672,0.03304283320903778,0.08260708302259445,0.07021601498126984,0.03304283320903778,0.07021601498126984
2018-07,0.2752272727272727,0.2742028985507246,0.2789473684210526,0.0480681818181818,0.0605797101449275,0.0026315789473684,88.0,69.0,19.0,29.49,28.87,27.62320653,27.0278371,176.0,327.0,99.52677419354839,110.02842712402344,84.4084701538086,0.038423772901296616,0.029885156080126762,0.017077231779694557,0.05123169720172882,0.004269307944923639
2018-08,0.3582278481012658,0.3169354838709677,0.5088235294117647,-0.0487341772151898,-0.0080645161290322,-0.1970588235294117,79.0,62.0,17.0,29.85,29.25,27.82871691,27.41777665,115.0,419.0,85.71451612903226,112.74168395996094,68.57559204101562,0.03583105653524399,0.044788822531700134,0.04030993953347206,0.031352173537015915,0.03583105653524399
