year_month,mean_negativity_combined,mean_negativity_eng,mean_negativity_tha,mean_sentiment_combined,mean_sentiment_eng,mean_sentiment_tha,n_articles_combined,n_articles_eng,n_articles_tha
2018-04,0.3240196078431372,0.3361538461538462,0.30270270270270266,0.020882352941176473,0.03353846153846154,-0.0013513513513513467,102.0,65.0,37.0
2018-05,0.4532710280373832,0.42928571428571427,0.4986486486486486,-0.08878504672897196,-0.03714285714285714,-0.1864864864864865,107.0,70.0,37.0
2018-06,0.3856060606060606,0.436,0.228125,-0.0787878787878788,-0.128,0.075,66.0,50.0,16.0
2018-07,0.27522727272727276,0.27420289855072466,0.2789473684210526,0.048068181818181815,0.06057971014492753,0.002631578947368412,88.0,69.0,19.0
2018-08,0.3582278481012658,0.3169354838709677,0.5088235294117647,-0.048734177215189876,-0.008064516129032256,-0.19705882352941176,79.0,62.0,17.0
2018-09,0.38231707317073166,0.3385245901639344,0.5095238095238095,-0.09146341463414635,-0.028688524590163935,-0.27380952380952384,82.0,61.0,21.0
2018-10,0.40804597701149425,0.4313432835820895,0.32999999999999996,-0.08218390804597701,-0.13134328358208958,0.08249999999999999,87.0,67.0,20.0
2018-11,0.34263157894736845,0.3657142857142857,0.278,0.022631578947368405,-0.07,0.282,95.0,70.0,25.0
2018-12,0.3588888888888889,0.41291666666666665,0.21481481481481482,-0.017979797979797974,-0.06847222222222221,0.11666666666666668,99.0,72.0,27.0
2019-01,0.5097029702970297,0.5274698795180723,0.4277777777777778,-0.2059405940594059,-0.2397590361445783,-0.04999999999999999,101.0,83.0,18.0
2019-02,0.3527450980392157,0.3497619047619048,0.36666666666666664,-0.0534313725490196,-0.029761904761904757,-0.1638888888888889,102.0,84.0,18.0
2019-03,0.30512820512820515,0.32426470588235295,0.175,0.010256410256410256,-0.0014705882352941148,0.09,78.0,68.0,10.0
2019-04,0.3468085106382978,0.3567164179104477,0.3222222222222222,-0.05159574468085106,-0.1,0.06851851851851852,94.0,67.0,27.0
2019-05,0.37777777777777777,0.37816901408450704,0.3763157894736842,-0.06855555555555555,-0.09887323943661971,0.04473684210526316,90.0,71.0,19.0
2019-06,0.3629032258064516,0.4088235294117647,0.23800000000000002,0.012903225806451615,-0.06764705882352941,0.23199999999999998,93.0,68.0,25.0
2019-07,0.38274725274725274,0.41289473684210526,0.23,-0.0865934065934066,-0.12473684210526316,0.10666666666666666,91.0,76.0,15.0
2019-08,0.32747747747747746,0.3452127659574468,0.22941176470588234,-0.036486486486486475,-0.07074468085106382,0.15294117647058825,111.0,94.0,17.0
2019-09,0.4274509803921568,0.4717948717948718,0.2833333333333333,-0.12009803921568628,-0.19487179487179487,0.12291666666666667,102.0,78.0,24.0
2019-10,0.34895161290322585,0.38467532467532467,0.2904255319148936,-0.04088709677419353,-0.12948051948051947,0.10425531914893618,124.0,77.0,47.0
2019-11,0.38207207207207206,0.3728395061728395,0.40700000000000003,-0.10450450450450449,-0.11666666666666665,-0.07166666666666664,111.0,81.0,30.0
2019-12,0.29395161290322586,0.30388888888888893,0.2676470588235294,0.03870967741935485,0.004444444444444446,0.12941176470588237,124.0,90.0,34.0
2020-01,0.45652542372881355,0.4940449438202247,0.3413793103448276,-0.11008474576271186,-0.1953932584269663,0.1517241379310345,118.0,89.0,29.0
2020-02,0.341869918699187,0.3761904761904762,0.26794871794871794,-0.017886178861788612,-0.13988095238095238,0.2448717948717949,123.0,84.0,39.0
2020-03,0.520752688172043,0.6026666666666667,0.17944444444444443,-0.2527956989247312,-0.4088,0.3972222222222222,93.0,75.0,18.0
2020-04,0.4790322580645161,0.4986842105263158,0.3911764705882353,-0.18086021505376346,-0.21144736842105263,-0.04411764705882353,93.0,76.0,17.0
2020-05,0.42644230769230773,0.4244047619047619,0.43500000000000005,-0.18259615384615382,-0.1838095238095238,-0.1775,104.0,84.0,20.0
2020-06,0.38762376237623763,0.388125,0.3857142857142857,-0.07722772277227723,-0.103375,0.022380952380952373,101.0,80.0,21.0
2020-07,0.36355140186915885,0.404320987654321,0.23653846153846153,-0.16700934579439253,-0.22555555555555554,0.015384615384615385,107.0,81.0,26.0
