Date,Thailand_all,Thailand_initiator,Thailand_respondent,Thailand_spillover
01-11-85,0.4868,0,0,0.4868
01-12-85,0.6554,0,0,0.6554
01-01-86,0.5732,0,0.1911,0.3822
01-02-86,0,0,0,0
01-03-86,0.4115,0.2057,0,0.2057
01-04-86,1.1014,0,0.3671,0.7343
01-05-86,2.0012,0.2502,0,1.7511
01-06-86,0.5289,0,0.5289,0
01-07-86,0,0,0,0
01-08-86,1.1006,0,0.2752,0.8255
01-09-86,0,0,0,0
01-10-86,1.1106,0.2221,0.6664,0.2221
01-11-86,0.438,0,0,0.438
01-12-86,0.2292,0,0,0.2292
01-01-87,0.2123,0.2123,0,0
01-02-87,1.0408,0.7806,0,0.2602
01-03-87,0.7732,0.2577,0,0.5155
01-04-87,0,0,0,0
01-05-87,0.7166,0.4777,0,0.2389
01-06-87,0.2452,0,0,0.2452
01-07-87,0.2163,0,0,0.2163
01-08-87,0.4354,0,0.2177,0.2177
01-09-87,0.2298,0.2298,0,0
01-10-87,0.1773,0,0,0.1773
01-11-87,0.4457,0,0,0.4457
01-12-87,1.3871,0.438,0,0.9491
01-01-88,0.2368,0.2368,0,0
01-02-88,0.8841,0.6631,0.221,0
01-03-88,0.172,0,0,0.172
01-04-88,0.7194,0.1799,0,0.5396
01-05-88,0.4165,0,0,0.4165
01-06-88,0.461,0,0,0.461
01-07-88,0.8457,0,0,0.8457
01-08-88,2.4707,0,0,2.4707
01-09-88,2.1373,0,0,2.1373
01-10-88,0.7409,0,0,0.7409
01-11-88,1.1237,0,0,1.1237
01-12-88,0.5179,0,0,0.5179
01-01-89,0.8402,0.1939,0,0.6463
01-02-89,0.6356,0,0,0.6356
01-03-89,0.5923,0.1974,0,0.3949
01-04-89,0.762,0.1905,0,0.5715
01-05-89,0.6547,0.2182,0,0.4364
01-06-89,1.0119,0.6071,0,0.4047
01-07-89,0.2769,0,0.2769,0
01-08-89,0.5512,0,0,0.5512
01-09-89,3.2235,0.4205,0,2.8031
01-10-89,1.3637,0,0,1.3637
01-11-89,0.5992,0,0,0.5992
01-12-89,0.3761,0,0,0.3761
01-01-90,1.7233,0,0,1.7233
01-02-90,1.3378,0.4459,0.223,0.6689
01-03-90,0.6983,0,0,0.6983
01-04-90,0.1663,0,0.1663,0
01-05-90,1.2954,0.5552,0,0.7402
01-06-90,0.5827,0.1942,0,0.3884
01-07-90,0.554,0,0,0.554
01-08-90,0.4995,0,0,0.4995
01-09-90,0,0,0,0
01-10-90,0.3995,0,0,0.3995
01-11-90,0.4247,0.1416,0,0.2832
01-12-90,0.8866,0,0.5911,0.2955
01-01-91,0.3325,0,0,0.3325
01-02-91,1.1174,0.1341,0.2682,0.7152
01-03-91,0.9093,0.7577,0,0.1515
01-04-91,0.1798,0,0.1798,0
01-05-91,1.1776,0,0.8832,0.2944
01-06-91,0.1635,0,0,0.1635
01-07-91,0,0,0,0
01-08-91,0.8332,0,0,0.8332
01-09-91,0.1447,0,0,0.1447
01-10-91,1.5645,0,0.1304,1.4341
01-11-91,0.8968,0,0,0.8968
01-12-91,0.8626,0,0,0.8626
01-01-92,0.2829,0,0,0.2829
01-02-92,0.1387,0,0,0.1387
01-03-92,1.4057,0.1171,0,1.2886
01-04-92,0,0,0,0
01-05-92,9.318,5.6147,3.5839,0.1195
01-06-92,0.8869,0.1478,0.4435,0.2956
01-07-92,0.1194,0,0,0.1194
01-08-92,0.2899,0.0966,0,0.1932
01-09-92,0.1294,0,0,0.1294
01-10-92,0.4434,0,0,0.4434
01-11-92,0.4448,0.1112,0,0.3336
01-12-92,0.5003,0.1001,0,0.4003
01-01-93,0.3004,0,0,0.3004
01-02-93,0.4461,0,0,0.4461
01-03-93,0.0933,0,0.0933,0
01-04-93,0,0,0,0
01-05-93,0.6703,0,0,0.6703
01-06-93,0,0,0,0
01-07-93,0.0905,0.0905,0,0
01-08-93,0.7405,0,0.1851,0.5554
01-09-93,0,0,0,0
01-10-93,0.1923,0,0.0824,0.1099
01-11-93,0,0,0,0
01-12-93,0.465,0.093,0.093,0.279
01-01-94,0.1017,0.1017,0,0
01-02-94,0.1101,0,0,0.1101
01-03-94,0.7436,0,0,0.7436
01-04-94,0.1751,0,0.0876,0.0876
01-05-94,0.7867,0.0874,0,0.6993
01-06-94,0.0851,0,0,0.0851
01-07-94,0.187,0.0935,0,0.0935
01-08-94,0.1006,0,0.1006,0
01-09-94,0.0968,0,0.0968,0
01-10-94,0,0,0,0
01-11-94,0,0,0,0
01-12-94,0.0917,0,0,0.0917
01-01-95,0.1854,0,0,0.1854
01-02-95,0.2243,0,0,0.2243
01-03-95,0.1092,0,0,0.1092
01-04-95,0.1796,0,0.0898,0.0898
01-05-95,0.7116,0,0.2033,0.5083
01-06-95,0,0,0,0
01-07-95,0.424,0.3392,0.0848,0
01-08-95,0,0,0,0
01-09-95,0,0,0,0
01-10-95,0,0,0,0
01-11-95,0,0,0,0
01-12-95,0,0,0,0
01-01-96,0,0,0,0
01-02-96,0.0912,0,0,0.0912
01-03-96,0.0784,0,0,0.0784
01-04-96,0.0877,0,0,0.0877
01-05-96,0,0,0,0
01-06-96,0,0,0,0
01-07-96,0,0,0,0
01-08-96,0,0,0,0
01-09-96,0.1698,0,0,0.1698
01-10-96,0.2724,0,0,0.2724
01-11-96,0,0,0,0
01-12-96,0.4194,0,0,0.4194
01-01-97,0,0,0,0
01-02-97,0.2237,0,0,0.2237
01-03-97,0.3614,0,0.1807,0.1807
01-04-97,0.192,0,0,0.192
01-05-97,0,0,0,0
01-06-97,0.4243,0,0,0.4243
01-07-97,2.9698,0,0,2.9698
01-08-97,4.5541,0,1.012,3.5421
01-09-97,0.3706,0,0,0.3706
01-10-97,0.1968,0,0,0.1968
01-11-97,0.179,0,0,0.179
01-12-97,0,0,0,0
01-01-98,0.8128,0,0.6096,0.2032
01-02-98,0.1625,0,0,0.1625
01-03-98,0.7685,0,0,0.7685
01-04-98,2.109,0.2343,0.2343,1.6403
01-05-98,0.4987,0,0.1662,0.3325
01-06-98,0.6618,0,0.3309,0.3309
